"통계분류(1)",통계분류(2),2021,2021,2021
"통계분류(1)",통계분류(2),사례수,전체 평균,독서자 평균
"전체",소계,6000,4.5,9.5
"성별",남성,2991,4.5,9.3
"성별",여성,3009,4.5,9.6
"연령별",19~29세,1016,8.5,10.8
"연령별",30~39세,964,6.8,9.9
"연령별",40~49세,1123,4.9,9.9
"연령별",50~59세,1173,2.6,7.3
"연령별",60세 이상,1724,1.9,7.8
"학력별",중졸 이하,900,0.6,5.2
"학력별",고졸/고퇴,2136,2.4,7.6
"학력별",대재 이상,2964,7.1,10.3
"가구소득별",200만원 미만,715,1.6,7.7
"가구소득별",200~300만원 미만,888,2.9,9.4
"가구소득별",300~400만원 미만,1412,4.3,9.4
"가구소득별",400~500만원 미만,1521,5.1,9.4
"가구소득별",500만원 이상,1464,6.4,9.8
