"문해능력수준별(1)",2020,2020
"문해능력수준별(1)",비율 (%),추정인구 (명)
"전체",100.0,44081271
"수준1",4.5,2001428
"수준2",4.2,1855661
"수준3",11.4,5039367
"수준4 이상",79.8,35184815
